dataset_id,premise,positive_hypothesis,negative_hypothesis,correct_polarity
13881,"Americká občanská válka probíhala ve Spojených státech v letech 1861 až 1865. Brookwood Hills je historická čtvrť nacházející se v intravilánu Atlanty ve státě Georgia ve Spojených státech amerických, severně od Midtownu a jihojihozápadně od Buckheadu. V této čtvrti se nachází místo, kde se během kampaně za Atlantu odehrály jedny z nejkrvavějších bitev americké občanské války. Spojené státy americké. V druhé polovině 19. století vedla americká občanská válka k ukončení legálního otroctví v zemi.",Americká občanská válka se odehrávala ve Spojených státech.,Americká občanská válka se neodehrávala ve Spojených státech.,P
33671,Matthew Staton Bomer (narozen 11. října 1977) je americký herec.,Matt Bomer je pouze německé národnosti.,Matt Bomer není pouze německé národnosti.,N
208916,"The Monster je píseň amerického rappera Eminema, ve které hostuje barbadoská zpěvačka Rihanna a která pochází z Eminemova alba The Marshall Mathers LP 2 (2013).",The Monster je Eminemovo EP.,The Monster není Eminemovo EP.,N
88589,"V matematice je polynom výraz složený z proměnných (nebo neurčitých) a koeficientů, který zahrnuje pouze operace sčítání, odčítání, násobení a nezáporné celočíselné exponenty. Používají se například k tvorbě polynomických rovnic, které kódují širokou škálu problémů, od elementárních slovních úloh až po složité problémy v přírodních vědách; používají se k definici polynomických funkcí, které se objevují v různých prostředích, od základní chemie a fyziky až po ekonomii a společenské vědy; používají se v kalkulech a numerické analýze k aproximaci jiných funkcí. V algebře je obsahem polynomu s celočíselnými koeficienty (nebo obecněji s koeficienty v oboru jedinečné faktorizace) největší společný dělitel jeho koeficientů.",Polynom je vybaven koeficienty.,Polynom není vybaven koeficienty.,P
10567,"Google Search, běžně označovaný jako Google Web Search nebo jednoduše Google, je internetový vyhledávač vyvinutý společností Google. Patří sem synonyma, předpovědi počasí, časová pásma, burzovní kotace, mapy, údaje o zemětřesení, časy promítání filmů, letiště, seznamy domů a sportovní výsledky.",Vyhledávač Google zobrazuje informace o domovech.,Vyhledávač Google nezobrazuje žádné informace o domovech.,P
134438,První sezóna seriálu Psych se původně vysílala ve Spojených státech na televizní síti USA Network mezi 7. červencem 2006 a 2. březnem 2007. Druhá sezóna seriálu Psych se původně vysílala ve Spojených státech na televizní stanici USA Network od 13. července 2007 do 15. února 2008.,Psych (2. série) se původně vysílala na televizní stanici USA Network.,Psych (2. série) se původně nevysílala na televizní stanici USA Network.,P
183915,"Gotham City ([ˈɡɒθəm]) nebo jen Gotham je fiktivní město vystupující v amerických komiksech vydávaných nakladatelstvím DC Comics, známé především jako domov Batmana. Gotham City Sirens je americká komiksová série byla napsána Paulem Dinim s kresbou Guillema Marche a vydána DC Comics.",Gotham City Sirens vydalo nakladatelství Marvel Comics.,Gotham City Sirens vydalo nakladatelství Marvel Comics.,N
94262,"Drake (hudebník). Album ovlivněné taneční hudbou se deset týdnů bez přestávky drželo na vrcholu žebříčku Billboard 200 a stalo se tak prvním albem sólového muže po více než deseti letech. Jeho singl ""One Dance"" se dostal na první místo žebříčku v několika zemích, včetně USA, Spojeného království a Kanady, kde se stal jeho prvním singlem číslo jedna v roli hlavního interpreta. ""One Dance"" je píseň kanadského rappera Drakea z jeho čtvrtého studiového alba Views (2016). ""Pop Style"" je píseň kanadského interpreta Drakea, na které se podíleli američtí rappeři Kanye West a Jay Z (kteří jsou společně označováni jako The Throne, což je narážka na jejich společné album Watch the Throne z roku 2011).",Skladbu One Dance napsal Drake.,Skladbu One Dance  Drake.,P
28369,"John S. McCain Jr.. McCain vyrůstal ve Washingtonu a v roce 1931 absolvoval Námořní akademii USA, po jejímž absolvování vstoupil do služby u ponorek.",John S. McCain Jr. vstoupil do ponorkové služby.,John S. McCain Jr. nevstoupil do ponorkové služby.,P
121765,"Vzpoura na Bounty je americký dramatický film z roku 1935 v režii Franka Lloyda s Charlesem Laughtonem a Clarkem Gablem v hlavních rolích, natočený podle románu Charlese Nordhoffa a Jamese Normana Halla Vzpoura na Bounty. Vzpoura na Bounty je americký technicolorový výpravný historický dramatický film z roku 1962 s Marlonem Brando, Trevorem Howardem a Richardem Harrisem v hlavních rolích, natočený podle románu Charlese Nordhoffa a Jamese Normana Halla Vzpoura na Bounty. Jedná se o druhý americký film natočený podle románu, prvním byla Vzpoura na Bounty (1935).",Vzpoura na Bounty je druhým americkým filmem natočeným na motivy atrakce Vzpoura na Bounty v Disneylandu.,Vzpoura na Bounty není druhým americkým filmem natočeným na motivy atrakce Vzpoura na Bounty v Disneylandu.,N
120000,"Dobrý den pro smrtonosnou past je americký akční thriller z roku 2013 a pátý díl filmové série Smrtonosná past. Smrtonosná past. Úspěch filmu dal vzniknout sérii Smrtonosná past, která zahrnuje čtyři pokračování (Smrtonosná past 2, Smrtonosná past s pomstou, Live Free or Die Hard a A Good Day to Die Hard), videohry a komiks. Smrtonosná past s pomstou je americký akční film z roku 1995 a třetí díl filmové série Smrtonosná past.",Film Dobrý den pro Smrtonosnou past je od série Smrtonosná past oddělen.,Film Dobrý den pro Smrtonosnou past není od série Smrtonosná past oddělen.,N
207000,"Punch-Drunk Love je americký romantický komediálně-dramatický film z roku 2002, který napsal a režíroval Paul Thomas Anderson a ve kterém hrají Adam Sandler, Emily Watson, Philip Seymour Hoffman, Luis Guzmán a Mary Lynn Rajskub. Film produkovaly společnosti Revolution Studios a New Line Cinema a distribuovala ho společnost Columbia Pictures; ve filmu se objevuje videoart Jeremyho Blakea v podobě vizuálních intermezz.",Film Punch-Drunk Love vznikl v produkci Revolution Studios a New Line Cinema.,Film Punch-Drunk Love nevznikl v produkci Revolution Studios a New Line Cinema.,N
152918,"Loretta L. Sánchezová (* 7. ledna 1960) je americká politička, která v letech 1997-2017 působila ve Sněmovně reprezentantů Spojených států amerických.",Loretta Sánchezová je pouze německého původu.,Loretta Sánchezová není pouze německého původu.,P
93739,Warcraft (film). Film Warcraft měl premiéru 24. května 2016 v Paříži a 10. června 2016 jej společnost Universal Pictures uvedla do amerických kin.,V Americe byl Warcraft uveden do kin společností Universal Pictures.,V Americe nebyl Warcraft uveden do kin společností Universal Pictures.,P
194221,"Mike Friedrich (narozen 27. března 1949) je americký komiksový scenárista a vydavatel, známý především svou prací pro Marvel a DC Comics a vydáváním antologické série Star * Reach, jednoho z prvních nezávislých komiksů.",Mike Friedrich je Američan.,Mike Friedrich není Američan.,P
124189,Ian Gillan (narozen 19. srpna 1945) je anglický zpěvák a skladatel.,Ian Gillan se narodil 19. května 1945.,Ian Gillan se nenarodil 19. května 1945.,N
53967,"Gettysburgská řeč je projev amerického prezidenta Abrahama Lincolna, jeden z nejznámějších v americké historii. Lincoln ji pronesl během americké občanské války, ve čtvrtek 19. listopadu 1863 odpoledne při svěcení Národního hřbitova vojáků v Gettysburgu v Pensylvánii, čtyři a půl měsíce poté, co armády Unie porazily armády Konfederace v bitvě u Gettysburgu.",Gettysburskou řeč pronesl prezident Spojených států.,Gettysburskou řeč nepronesl prezident Spojených států.,P
37137,Projekt Y. Jeho úkolem bylo navrhnout a sestrojit první atomové bomby.,Úkolem projektu Y bylo zničit první atomové bomby.,Úkolem projektu Y nebylo zničit první atomové bomby.,N
156204,"Ron Dennis. Dennis je globálním konzultantem společnosti Minsheng Investment Corporation a také majitelem společnosti Absolute Taste. Je známý především díky své dřívější roli majitele, generálního ředitele, předsedy a zakladatele společnosti McLaren Technology Group. V roce 2009 Dennis společně se spolumajiteli TAG Group Mansoura Ojjeha a bahrajnskou společností Mumtalakat Holding Company odkoupil 40procentní podíl společnosti Daimler AG v rámci transakce, která byla uzavřena v roce 2011. Jeho čisté jmění vzrostlo v roce 2014, kdy koupil společnost McLaren Group. Je globálním konzultantem státní investiční skupiny China Minsheng a také předsedou britského summitu.",Ron Dennis je vlastníkem.,Ron Dennis není vlastníkem.,P
28892,"Road House je filmové noir drama z roku 1948, které režíroval Jean Negulesco a jehož kameramanem je Joseph LaShelle. Road House je americký akční film z roku 1989 v režii Rowdyho Herringtona s Patrickem Swayzem v hlavní roli vyhazovače v nově zrekonstruovaném baru u silnice, který chrání malé městečko v Missouri před zkorumpovaným podnikatelem.",Road House je film.,Road House není film.,P
146416,"Anne Boleynová: ""V roce 2012 se v televizi objevil nový seriál, který se jmenuje Anne Boleyn. (1501 - 19. května 1536) byla anglickou královnou v letech 1533 až 1536 jako druhá manželka krále Jindřicha VIII. a markýzou z Pembroke. Anna se počátkem roku 1522 vrátila do Anglie, aby se provdala za svého irského bratrance Jamese Butlera, 9. hraběte z Ormondu; plány na sňatek překazil kardinál Wolsey a místo toho si zajistila místo u dvora jako družka manželky Jindřicha VIII, Kateřiny Aragonské. Počátkem roku 1523 byla Anna tajně zasnoubena s Jindřichem Percym, synem 5. hraběte z Northumberlandu, ale v lednu 1524 kardinál Wolsey zásnuby zrušil a Anna byla poslána zpět domů na hrad Hever.",Anna Boleynová se do Anglie vrátila.,Anna Boleynová se do Anglie nevrátila.,P
160593,"Buffy, přemožitelka upírů je americký televizní seriál, který vytvořil Joss Whedon pod svou produkční značkou Mutant Enemy Productions a jehož pozdějšími spoluproducenty byli Jane Espenson, David Fury, David Greenwalt, Doug Petrie, Marti Noxon a David Solomon.","Buffy, přemožitelka upírů, měla více než jednoho výkonného producenta.","Buffy, přemožitelka upírů, neměla více než jednoho výkonného producenta.",P
2983,"Kevin Costner. V televizi získal Costner cenu Primetime Emmy za vynikající mužský herecký výkon v hlavní roli v minisérii nebo filmu, Zlatý glóbus za nejlepší mužský herecký výkon v minisérii nebo televizním filmu a cenu Screen Actors Guild za vynikající mužský herecký výkon v minisérii nebo televizním filmu za roli ďábla Anse Hatfielda ve filmu Hatfieldovi a McCoyovi (2012).",Kevin Costner hrál roli ďábla Anse Hatfielda v roce 2012.,Kevin Costner nehrál roli ďábla Anse Hatfielda v roce 2012.,P
134592,Projekt Y. Jeho úkolem bylo navrhnout a sestrojit první atomové bomby.,Cílem projektu Y bylo vynalézt první atomové bomby.,Cílem projektu Y nebylo vynalézt první atomové bomby.,P
28918,"Noc oživlých mrtvol je americký nezávislý horor z roku 1968, který režíroval George A. Romero, v hlavních rolích se představili Duane Jones a Judith O'Dea. Noc oživlých mrtvol je série sedmi zombie hororů napsaných a režírovaných Georgem A. Romerem a Cameronem Romerem počínaje filmem Noc oživlých mrtvol z roku 1968, jehož scénář napsali Romero a John A. Russo.",Noc oživlých mrtvol původně režíroval George A. Romero.,Noc oživlých mrtvol původně nerežíroval George A. Romero.,P
1361,"Deepika Padukone. Padukone získala pochvalu za ztvárnění hlavních rolí v romanci Love Aaj Kal (2009) a dramatu Lafangey Parindey (2010), ale její výkony v romanci Bachna Ae Haseeno (2008) a komedii Housefull (2010) se setkaly s negativními recenzemi. Na výsluní se dostala hlavními rolemi v romantických komediích Yeh Jawaani Hai Deewani (2013) a Chennai Express (2013), loupežné komedii Happy New Year (2014) a historické romanci Bajirao Mastani (2015), které se řadí mezi nejvýdělečnější bollywoodské filmy. Padukoneová za své uznávané ztvárnění postavy vycházející z Julie v tragické romanci Goliyon Ki Raasleela Ram-Leela (2013) a svéhlavé architektky v komediálním dramatu Piku (2015) získala dvě ceny pro nejlepší herečku na Filmfare.","Deepika Padukone hrála v komediích, dramatech i romancích.","Deepika Padukone nehrála v komediích, dramatech i romancích.",P
40195,"Andrew Moray. V létě roku 1297 vedl povstání v severním Skotsku proti okupaci anglickým králem Eduardem I. a úspěšně získal zpět kontrolu nad oblastí pro krále Jana Balliola. Sir Andrew Murray (1298 - 1338), známý také jako sir Andrew Moray nebo sir Andrew de Moray, byl skotský vojenský a politický vůdce, který podporoval skotského krále Davida II. v boji proti Eduardu Balliolovi a anglickému králi Eduardu III. během tzv. druhé války za skotskou nezávislost.",Andrew Moray vedl povstání proti okupaci.,Andrew Moray nevedl povstání proti okupaci.,P
202743,"The Chaperone je americký komediální film z roku 2011, který režíroval Stephen Herek a který také produkovala společnost WWE Studios. Hrají v něm Triple H, Yeardley Smith, Ariel Winter, Kevin Corrigan, José Zúñiga, Kevin Rankin, Enrico Colantoni a Israel Boussard.",The Chaperone (film) je pouze televizní pořad z roku 2011.,The Chaperone (film) není pouze televizní pořad z roku 2011.,N
207320,"Vojenský podvod. Toho se obvykle dosahuje vytvořením nebo zesílením umělé válečné mlhy prostřednictvím psychologických operací, informační války, vizuálního klamání a dalších metod. Jako forma strategického využití informací (dezinformace) se překrývá s psychologickou válkou.",Vojenské klamání se překrývá s psychologickou válkou.,Vojenské klamání se nepřekrývá s psychologickou válkou.,P
213435,"The Originals je americký televizní seriál, který se začal vysílat na stanici The CW 3. října 2013.",The Originals (televizní seriál) je výhradně britský.,The Originals (televizní seriál) není výhradně britský.,N
195484,"William Howard Taft. Přestože měl Taft osobní ambice stát se předsedou Nejvyššího soudu, opakovaně odmítl nabídky na jmenování do Nejvyššího soudu Spojených států, protože považoval svou politickou práci za důležitější.",William Howard Taft nabídky odmítl.,William Howard Taft nabídky neodmítl.,P
204316,"Lotyšská sovětská socialistická republika (Lotyšská SSR; Latvijas Padomju Sociālistiskā Republika Латвийская Советская Социалистическая Республика, Latviyskaya Sovetskaja Sotsialisticheskaja Respublika), známá také jako Sovětské Lotyšsko nebo Lotyšsko, byla republikou Sovětského svazu.",Lotyšská sovětská socialistická republika je známá jako Sovětské Lotyšsko.,Lotyšská sovětská socialistická republika není nikdy známá jako Sovětské Lotyšsko.,P
228568,"Telefon (píseň). Hudebně se ""Telephone"" skládá z rozšířeného bridge, sloky-rapu a samplovaného hlasu operátora, který oznamuje, že telefonní linka je nedostupná.",Telefon se skládá ze sloky-rapu.,Telefon se neskládá ze sloky-rapu.,P
78794,Catherine Tateová. Po úspěchu seriálu The Catherine Tate Show hrála Tateová Donnu Nobleovou ve vánočním speciálu seriálu Doctor Who v roce 2006 a později si svou roli dočasně zopakovala a v roce 2008 se stala společnicí desátého Doktora ve čtvrté sérii.,"Catherine Tateová odmítla, že by někdy hrála Donnu Nobleovou.","Catherine Tateová neodmítla, že by někdy hrála Donnu Nobleovou.",N
182686,"Nina Jacobsonová (nar. 1965) je americká filmová manažerka, která byla do července 2006 prezidentkou společnosti Buena Vista Motion Pictures Group, dceřiné společnosti The Walt Disney Company.",Nina Jacobsonová se narodila v roce 1492.,Nina Jacobsonová se nenarodila v roce 1492.,N
153372,"Rachel Meghan Markleová (narozena 4. srpna 1981) je americká herečka, humanitární pracovnice a aktivistka.",Meghan Markle se narodila v červenci.,Meghan Markle se nenarodila v červenci.,N
137825,"Azimut. Je dostupný jako generický lék a prodává se pod mnoha obchodními názvy po celém světě. Velkoobchodní cena v rozvojových zemích je přibližně 0,18 až 2,98 USD za dávku.",Azithromycin se prodává.,Azithromycin se neprodává.,P
183925,Gotham City Sirens je americká komiksová série byla napsána Paulem Dinim s kresbou Guillema Marche a vydána DC Comics.,Gotham City Sirens je komiksová série ze Spojených států.,Gotham City Sirens není komiksová série ze Spojených států.,P
138252,"Ellen (televizní seriál). V hlavní roli Ellen Morganové, kterou hraje stand-up komička Ellen DeGeneres, je neurotická majitelka knihkupectví po třicítce. Seriál je pozoruhodný tím, že je jedním z prvních s hlavní postavou, která se přiznala k homosexualitě, což postava DeGeneres udělala v epizodě ""The Puppy Episode"" z roku 1997, která byla odvysílána krátce poté, co DeGeneres veřejně odhalila, že je v reálném životě lesbička. Ellen DeGeneresová. DeGeneresová hrála v letech 1994 až 1998 v populárním sitcomu Ellen a od roku 2003 moderuje svou syndikovanou televizní talk show The Ellen DeGeneres Show. The Ellen Show je televizní sitcom vytvořený Ellen DeGeneresovou a v hlavní roli, který byl vysílán v sezóně 2001 - 02 na CBS. Byl to DeGeneresové druhý pokus o sitcom po Ellen na ABC (1994 - 98), který však nedokázal přilákat vysokou sledovanost a byl rychle zrušen po 13 epizodách, přičemž 5 epizod zůstalo neodvysílaných.",Seriál The Ellen Show odmítl Ellen DeGeneresovou zařadit do svého obsazení.,Seriál The Ellen Show neodmítl Ellen DeGeneresovou zařadit do svého obsazení.,N
64765,"Divergent (film). Hrají v něm Shailene Woodley, Theo James, Ashley Judd, Jai Courtney, Ray Stevenson, Zoë Kravitz, Miles Teller, Tony Goldwyn, Ansel Elgort, Maggie Q a Kate Winslet. Pokračování s názvem Insurgent bylo ve Spojených státech uvedeno 20. března 2015. Maggie Q. Je známá díky účinkování v akčních filmech Mission: Impossible III a Live Free or Die Hard a hrála hlavní roli v akčním thrillerovém seriálu Nikita stanice The CW, který se vysílal v letech 2010 až 2013. V roce 2014 ztvárnila Tori Wu ve filmové adaptaci románu Veronicy Rothové Divergent a tuto roli si zopakovala i v jeho pokračováních Insurgent a Allegiant. V současné době hraje roli agentky Hannah Wellsové v politickém dramatu stanice ABC Designated Survivor.",Maggie Q se zatím v pokračování objevila.,Maggie Q se zatím v pokračování neobjevila.,P
50681,"Balibo je australský válečný film z roku 2009, který sleduje příběh Balibo Five, skupiny novinářů, kteří byli zajati a zabiti, když informovali o aktivitách těsně před indonéskou invazí na Východní Timor v roce 1975. Film sleduje rozcuchaného novináře Rogera Easta, kterého hraje Anthony LaPaglia, jenž se v roce 1975 vydává na Východní Timor, aby vyšetřil smrt skupiny Balibo Five během příprav indonéské invaze do Východního Timoru. Natáčení začalo 30. června 2008 v Dili ve Východním Timoru a film byl uveden do kin následující rok.","Východní Timor je místem, kde se film Balibo odehrává.","Východní Timor není místem, kde se film Balibo odehrává.",P
39615,"Čína, oficiálně Čínská lidová republika (ČLR), je unitární suverénní stát ve východní Asii a nejlidnatější země světa s více než 1,381 miliardy obyvatel.",Čínská republika a Čínská lidová republika se prohlašují za oficiální vlády Číny.,Čínská republika a Čínská lidová republika se neprohlašujou za oficiální vlády Číny.,N
126962,"Austin Lee Russell (narozen 8. září 1982), známější pod uměleckým jménem Chumlee, je americký herec, podnikatel a osobnost televizní reality show, známý jako člen štábu televizního pořadu History Channel Pawn Stars, který zobrazuje každodenní provoz zastavárny Gold and Silver v Las Vegas, kde Russell pracuje jako zaměstnanec.",Chumlee je umělecké jméno Toma Cruise.,Chumlee není umělecké jméno Toma Cruise.,N
129137,"Faye Denise Resnick (narozena 3. července 1957) je americká televizní osobnost, autorka a interiérová designérka.",Faye Resnicková pochází z Německa.,Faye Resnicková nepochází z Německa.,N
56735,"Blue Dog Coalition, běžně známá jako Blue Dogs nebo Blue Dog Democrats, je uskupení zástupců Kongresu Spojených států amerických z Demokratické strany, kteří se označují za konzervativní demokraty. Vznikla v roce 1995 během 104. zasedání Kongresu, aby poskytla konzervativnějším členům z Demokratické strany jednotný hlas poté, co demokraté ztratili Kongres ve volbách do Kongresu USA v roce 1994.",Koalice modrých psů vznikla.,Koalice modrých psů nevznikla.,P
36298,"George Harrison. Harrisonovo první manželství, s modelkou Pattie Boydovou v roce 1966, skončilo v roce 1977 rozvodem. Následujícího roku se oženil s Olivií Harrisonovou (rozenou Ariasovou), s níž měl syna Dhaniho.",George Harrison byl ženatý s Pattie Boydovou.,George Harrison nebyl ženatý s Pattie Boydovou.,P
154952,"The Quiet (Ticho) je americký dramatický thriller z roku 2005, který režíroval Jamie Babbit a ve kterém si zahrály Camilla Belle a Elisha Cuthbert. Soundtrack k filmu obsahuje písně od skupin Low, Cat Power, Le Tigre a řadu Beethovenových klavírních sonát.",Ticho je podcast.,Ticho není podcast.,N
14366,Michael Kelland John Hutchence (22. ledna 1960 - 22. listopadu 1997) byl australský hudebník a herec. Ráno 22. listopadu 1997 byl Hutchence nalezen mrtvý ve svém hotelovém pokoji v Sydney.,Michael Hutchence zemřel 22. listopadu 1997.,Michael Hutchence nezemřel 22. listopadu 1997.,P
20641,"Ostrovy ABC jsou tři nejzápadnější ostrovy Závětrných Antil v Karibském moři, které leží severně od státu Falcón ve Venezuele.",Ostrovy ABC jsou poblíž Karibiku.,Ostrovy ABC nejsou nikde poblíž Karibiku.,P
205088,"Malý princ je anglicky mluvený francouzsko-italský 3D animovaný dobrodružný fantasy rodinný film z roku 2015, který režíroval Mark Osborne podle stejnojmenného románu Antoina de Saint-Exupéryho z roku 1943. Film vypráví příběh knihy pomocí stop motion animace, která je vetkána do počítačově animovaného rámcového vyprávění o mladé dívce, která se právě setkala s již postarším letcem - vypravěčem knihy, který jí vypráví příběh o svém setkání s Malým princem na Sahaře. Ve filmu se objeví hlasy Jeffa Bridgese, Rachel McAdams, Paula Rudda, Buda Corta, Marion Cotillard, Benicia del Toro, Jamese Franca, Rickyho Gervaise, Paula Giamattiho, Riley Osborne, Alberta Brookse a Mackenzie Foy. Film měl premiéru 22. května 2015 na 68. ročníku filmového festivalu v Cannes v mimosoutěžním promítání, 29. července jej Paramount Pictures uvede do široké francouzské distribuce. Film získal pozitivní recenze, vysloužil si chválu za styl animace a poctu vzdanou předloze a při rozpočtu 77,5 milionu dolarů vydělal 97,6 milionu dolarů, čímž se stal nejúspěšnějším francouzským animovaným filmem v zahraničí všech dob.",Malý princ (film z roku 2015) je neschopný být filmem.,Malý princ (film z roku 2015) není neschopný být filmem.,N
20703,Robinson Crusoe na Marsu. Film byl distribuován společností Paramount Pictures.,Snímek Robinson Crusoe na Marsu produkovala společnost Paramount Pictures.,Snímek Robinson Crusoe na Marsu neprodukovala společnost Paramount Pictures.,P
215860,Jerome Patrick Flynn (narozen 16. března 1963) je anglický herec a zpěvák.,Jerome Flynn je anglický zpěvák.,Jerome Flynn není anglický zpěvák.,P
155156,"No Strings Attached je druhé studiové album americké chlapecké skupiny NSYNC, které vyšlo 21. března 2000 u vydavatelství Jive Records. No Strings Attached je americká romantická komedie z roku 2011, kterou režíroval Ivan Reitman a scénář napsala Elizabeth Meriwether. Film byl uveden do kin ve Spojených státech 21. ledna 2011.",Film No Strings Attached vyšel v roce 2000.,Film No Strings Attached nevyšel v roce 2000.,N
30645,"Truman Garcia Capote ([ˈtruːmən_kəˈpoʊti] narozen jako Truman Streckfus Persons, 30. září 1924 - 25. srpna 1984) byl americký spisovatel, scenárista, dramatik a herec, autor mnoha povídek, románů, divadelních her a literatury faktu jsou uznávány jako literární klasika, včetně novely Snídaně u Tiffanyho (1958) a skutečného kriminálního románu Chladnokrevně (1966), který označil za ""román faktu"". Své spisovatelské poslání objevil už v osmi letech (The Dick Cavett Show, vysíláno 21. srpna 1980) a po zbytek dětství se v psaní zdokonaloval. Capote začal svou profesionální kariéru psaním povídek. Kritický úspěch jedné z povídek, ""Miriam"" (1945), upoutal pozornost nakladatele Random House Bennetta Cerfa a vyústil ve smlouvu na napsání románu Jiné hlasy, jiné pokoje (1948).",Truman Capote je americký spisovatel.,Truman Capote není americký spisovatel.,P
204560,"Komodor (královské námořnictvo). Komodor (Cdre) je hodnost královského námořnictva vyšší než kapitán a nižší než kontradmirál. Komodor je námořní hodnost používaná v mnoha námořnictvech, která je vyšší než námořní kapitán, ale nižší než kontradmirál. Často je považována za jednohvězdičkovou hodnost s kódem NATO OF-6 (což je v USA známo jako ""kontradmirál (dolní polovina)""), ale to, zda je považována za vlajkovou hodnost, se v jednotlivých zemích liší.",Komodor je hodnostně nadřazen námořnímu kapitánovi a kontradmirálovi.,Komodor není hodnostně nadřazen námořnímu kapitánovi a kontradmirálovi.,N
